Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C300,0.1uF,C_0402_1005Metric,301.13,-161.95,0.0,top
C301,0.1uF,C_0402_1005Metric,309.13,-161.95,0.0,top
C302,0.1uF,C_0402_1005Metric,317.13,-161.95,0.0,top
C303,0.1uF,C_0402_1005Metric,325.13,-161.95,0.0,top
C304,0.1uF,C_0402_1005Metric,333.13,-161.95,0.0,top
C305,0.1uF,C_0402_1005Metric,341.13,-161.95,0.0,top
C306,0.1uF,C_0402_1005Metric,349.13,-161.95,0.0,top
C307,0.1uF,C_0402_1005Metric,357.13,-161.95,0.0,top
C308,0.1uF,C_0402_1005Metric,365.13,-161.95,0.0,top
C309,0.1uF,C_0402_1005Metric,373.13,-161.95,0.0,top
C31,0.1uF,C_0402_1005Metric,381.13,-89.95,0.0,top
C310,0.1uF,C_0402_1005Metric,381.13,-161.95,0.0,top
C311,4.7uF,C_1206_3216Metric,101.1875,-165.0,0.0,top
C312,1uF,C_1206_3216Metric,95.3375,-142.75,0.0,top
C313,1uF,C_1206_3216Metric,123.75,-128.75,45.0,top
C314,1uF,C_1206_3216Metric,103.75,-108.25,135.0,top
C315,1uF,C_1206_3216Metric,108.275,-110.5,0.0,top
C316,100nF,C_1206_3216Metric,121.25,-138.75,-90.0,top
C318,1uF,C_0805_2012Metric,113.75,-143.0,-90.0,top
C319,1uF,C_0805_2012Metric,116.4,-133.1,180.0,top
C32,0.1uF,C_0402_1005Metric,387.15,-89.575,0.0,top
C320,1uF,C_0805_2012Metric,141.0,-133.050001,90.0,top
C33,0.1uF,C_0402_1005Metric,149.13,-97.95,0.0,top
C34,0.1uF,C_0402_1005Metric,157.13,-97.95,0.0,top
C35,0.1uF,C_0402_1005Metric,165.13,-97.95,0.0,top
C36,0.1uF,C_0402_1005Metric,173.13,-97.95,0.0,top
C37,0.1uF,C_0402_1005Metric,181.13,-97.95,0.0,top
C38,0.1uF,C_0402_1005Metric,189.13,-97.95,0.0,top
C39,0.1uF,C_0402_1005Metric,197.13,-97.95,0.0,top
C4,0.1uF,C_0402_1005Metric,165.13,-89.95,0.0,top
C40,0.1uF,C_0402_1005Metric,205.13,-97.95,0.0,top
C41,0.1uF,C_0402_1005Metric,213.13,-97.95,0.0,top
C42,0.1uF,C_0402_1005Metric,221.13,-97.95,0.0,top
C43,0.1uF,C_0402_1005Metric,229.13,-97.95,0.0,top
C44,0.1uF,C_0402_1005Metric,237.13,-97.95,0.0,top
C45,0.1uF,C_0402_1005Metric,245.13,-97.95,0.0,top
C46,0.1uF,C_0402_1005Metric,253.13,-97.95,0.0,top
C47,0.1uF,C_0402_1005Metric,261.13,-97.95,0.0,top
C48,0.1uF,C_0402_1005Metric,269.13,-97.95,0.0,top
C49,0.1uF,C_0402_1005Metric,277.13,-97.95,0.0,top
C5,0.1uF,C_0402_1005Metric,173.13,-89.95,0.0,top
C50,0.1uF,C_0402_1005Metric,285.13,-97.95,0.0,top
C51,0.1uF,C_0402_1005Metric,293.13,-97.95,0.0,top
C52,0.1uF,C_0402_1005Metric,301.13,-97.95,0.0,top
C53,0.1uF,C_0402_1005Metric,309.13,-97.95,0.0,top
C54,0.1uF,C_0402_1005Metric,317.13,-97.95,0.0,top
C55,0.1uF,C_0402_1005Metric,325.13,-97.95,0.0,top
C56,0.1uF,C_0402_1005Metric,333.13,-97.95,0.0,top
C57,0.1uF,C_0402_1005Metric,341.13,-97.95,0.0,top
C58,0.1uF,C_0402_1005Metric,349.13,-97.95,0.0,top
C59,0.1uF,C_0402_1005Metric,357.13,-97.95,0.0,top
C6,0.1uF,C_0402_1005Metric,181.13,-89.95,0.0,top
C60,0.1uF,C_0402_1005Metric,365.13,-97.95,0.0,top
C61,0.1uF,C_0402_1005Metric,373.13,-97.95,0.0,top
C62,0.1uF,C_0402_1005Metric,381.13,-97.95,0.0,top
C63,0.1uF,C_0402_1005Metric,387.15,-97.575,0.0,top
C64,0.1uF,C_0402_1005Metric,149.13,-105.95,0.0,top
C65,0.1uF,C_0402_1005Metric,157.13,-105.95,0.0,top
C66,0.1uF,C_0402_1005Metric,165.13,-105.95,0.0,top
C67,0.1uF,C_0402_1005Metric,173.13,-105.95,0.0,top
C68,0.1uF,C_0402_1005Metric,181.13,-105.95,0.0,top
C69,0.1uF,C_0402_1005Metric,189.13,-105.95,0.0,top
C7,0.1uF,C_0402_1005Metric,189.13,-89.95,0.0,top
C70,0.1uF,C_0402_1005Metric,197.13,-105.95,0.0,top
C71,0.1uF,C_0402_1005Metric,205.13,-105.95,0.0,top
C72,0.1uF,C_0402_1005Metric,213.13,-105.95,0.0,top
C73,0.1uF,C_0402_1005Metric,221.13,-105.95,0.0,top
C74,0.1uF,C_0402_1005Metric,229.13,-105.95,0.0,top
C75,0.1uF,C_0402_1005Metric,237.13,-105.95,0.0,top
C76,0.1uF,C_0402_1005Metric,245.13,-105.95,0.0,top
C77,0.1uF,C_0402_1005Metric,253.13,-105.95,0.0,top
C78,0.1uF,C_0402_1005Metric,261.13,-105.95,0.0,top
C79,0.1uF,C_0402_1005Metric,269.13,-105.95,0.0,top
C8,0.1uF,C_0402_1005Metric,197.13,-89.95,0.0,top
C80,0.1uF,C_0402_1005Metric,277.13,-105.95,0.0,top
C81,0.1uF,C_0402_1005Metric,285.13,-105.95,0.0,top
C82,0.1uF,C_0402_1005Metric,293.13,-105.95,0.0,top
C83,0.1uF,C_0402_1005Metric,301.13,-105.95,0.0,top
C84,0.1uF,C_0402_1005Metric,309.13,-105.95,0.0,top
C85,0.1uF,C_0402_1005Metric,317.13,-105.95,0.0,top
C86,0.1uF,C_0402_1005Metric,325.13,-105.95,0.0,top
C87,0.1uF,C_0402_1005Metric,333.13,-105.95,0.0,top
C88,0.1uF,C_0402_1005Metric,341.13,-105.95,0.0,top
C89,0.1uF,C_0402_1005Metric,349.13,-105.95,0.0,top
C9,0.1uF,C_0402_1005Metric,205.13,-89.95,0.0,top
C90,0.1uF,C_0402_1005Metric,357.13,-105.95,0.0,top
C91,0.1uF,C_0402_1005Metric,365.13,-105.95,0.0,top
